Sec,Ticks,msg_type,Channel,Notes,Velocities,Pedal,Tempo
21.10546875,0,"['note_off', 'note_on']",1,"[57, 59]","[47, 64]",,64.0
21.33984375,0,"['note_off', 'note_on']",1,"[59, 60]","[63, 64]",,64.0
21.5625,0,"['note_off', 'note_on']",1,"[62, 67]","[42, 64]",,64.0
21.57421875,0,"['note_off', 'note_on']",0,"[60, 62]","[54, 64]",,64.0
21.5859375,0,"['note_off', 'note_on']",3,"[72, 71]","[55, 64]",,64.0
21.7578125,0.171875,['note_off'],3,[55],[70],,64.0
21.80859375,0.05078125,['note_on'],3,[57],[64],,64.0
22.04296875,0,"['note_off', 'note_on']",3,"[57, 55]","[49, 64]",,64.0
22.27734375,0,"['note_off', 'note_on']",1,"[55, 53]","[65, 64]",,64.0
22.51171875,0,"['note_off', 'note_on', 'note_off', 'note_on']",0,"[62, 55, 53, 52]","[74, 64, 73, 64]",,64.0
22.5234375,0.01171875,['note_off'],3,[71],[83],,64.0
22.74609375,0,"['note_off', 'note_on']",3,"[52, 53]","[62, 64]",,64.0
22.98046875,0,"['note_off', 'note_on']",0,"[53, 52]","[55, 64]",,64.0
22.9921875,0.01171875,['note_on'],3,[72],[64],,64.0
23.21484375,0,"['note_off', 'note_on']",1,"[52, 50]","[76, 64]",,64.0
23.44140625,0.2265625,['note_off'],1,[67],[66],,64.0
23.44921875,0,"['note_off', 'note_off', 'note_on']",0,"[55, 50, 48]","[76, 49, 64]",,64.0
23.4609375,0,"['note_off', 'note_on']",3,"[72, 74]","[74, 64]",,64.0
23.68359375,0,"['note_off', 'note_on']",1,"[48, 50]","[69, 64]",,64.0
23.91796875,0,"['note_on', 'note_off', 'note_on']",0,"[55, 50, 48]","[64, 49, 64]",,64.0
23.9296875,0,"['note_off', 'note_on']",3,"[74, 76]","[58, 64]",,64.0
24.15234375,0,"['note_off', 'note_on']",1,"[48, 47]","[70, 64]",,64.0
24.38671875,0,"['note_off', 'note_on', 'note_off', 'note_on']",0,"[55, 57, 47, 45]","[37, 64, 76, 64]",,64.0
24.3984375,0,"['note_off', 'note_on']",1,"[76, 77]","[54, 64]",,64.0
24.85546875,0,"['note_off', 'note_on', 'note_off', 'note_on']",0,"[57, 59, 45, 50]","[54, 64, 54, 64]",,64.0
25.1015625,0,"['note_off', 'note_on']",0,"[77, 79]","[69, 64]",,64.0
25.21875,0,"['note_off', 'note_on']",1,"[79, 77]","[64, 64]",,64.0
25.32421875,0,"['note_off', 'note_on', 'note_off', 'note_on']",0,"[59, 60, 50, 57]","[59, 64, 69, 64]",,64.0
25.3359375,0,"['note_off', 'note_on']",3,"[77, 76]","[64, 64]",,64.0
25.79296875,0,"['note_off', 'note_on']",0,"[57, 54]","[63, 64]",,64.0
25.8046875,0,"['note_off', 'note_on']",1,"[76, 81]","[48, 64]",,64.0
26.02734375,0,"['note_off', 'note_on']",1,"[60, 62]","[70, 64]",,64.0
26.13671875,0.109375,['note_on'],1,[60],[64],,64.0
26.14453125,0.0078125,['note_off'],1,[62],[64],,64.0
26.25390625,0.109375,['note_off'],1,[60],[64],,64.0
26.26171875,0,"['note_on', 'note_off', 'note_on']",0,"[59, 54, 55]","[64, 74, 64]",,64.0
26.2734375,0,"['note_off', 'note_on']",3,"[81, 74]","[48, 64]",,64.0
26.49609375,0,"['note_off', 'note_on']",1,"[55, 57]","[57, 64]",,64.0
26.73046875,0,"['note_off', 'note_on', 'note_off', 'note_on']",0,"[59, 64, 57, 58]","[65, 64, 65, 64]",,64.0
26.7421875,0,"['note_off', 'note_on']",3,"[74, 79]","[51, 64]",,64.0
26.96484375,0,"['note_off', 'note_on']",1,"[58, 55]","[63, 64]",,64.0
27.19921875,0,"['note_off', 'note_on', 'note_off', 'note_on']",0,"[64, 57, 55, 49]","[54, 64, 77, 64]",,64.0
27.4453125,0,"['note_off', 'note_on']",1,"[79, 81]","[61, 64]",,64.0
