,msg_note,msg_velocity,tick,msg_channel,count,msg_type
309,[68],[64],360,[0],1,['note_on']
310,[68],[64],360,[0],1,['note_on']
311,[68],[64],360,[0],1,['note_on']
312,[68],[64],360,[0],1,['note_on']
313,[68],[64],360,[0],1,['note_on']
314,[68],[64],360,[0],1,['note_on']
315,[68],[64],360,[0],1,['note_on']
316,[68],[64],360,[0],1,['note_on']
317,[68],[64],360,[0],1,['note_on']
318,[68],[64],360,[0],1,['note_on']
319,[68],[64],360,[0],1,['note_on']
320,[68],[64],360,[0],1,['note_on']
321,[68],[64],360,[0],1,['note_on']
322,[68],[64],360,[0],1,['note_on']
323,[68],[64],360,[0],1,['note_on']
324,[68],[64],360,[0],1,['note_on']
325,[68],[64],360,[0],1,['note_on']
326,[68],[64],360,[0],1,['note_on']
327,[68],[64],360,[0],1,['note_on']
328,[68],[64],360,[0],1,['note_on']
329,[68],[64],360,[0],1,['note_on']
330,[68],[64],360,[0],1,['note_on']
331,[68],[64],360,[0],1,['note_on']
332,[68],[64],360,[0],1,['note_on']
333,[68],[64],360,[0],1,['note_on']
334,[68],[64],360,[0],1,['note_on']
335,[68],[64],360,[0],1,['note_on']
336,[68],[64],360,[0],1,['note_on']
337,[68],[64],360,[0],1,['note_on']
338,[68],[64],360,[0],1,['note_on']
339,[68],[64],360,[0],1,['note_on']
340,[68],[64],360,[0],1,['note_on']
341,[68],[64],360,[0],1,['note_on']
342,[68],[64],360,[0],1,['note_on']
343,[68],[64],360,[0],1,['note_on']
344,[68],[64],360,[0],1,['note_on']
345,[68],[64],360,[0],1,['note_on']
346,[68],[64],360,[0],1,['note_on']
347,[68],[64],360,[0],1,['note_on']
348,[68],[64],360,[0],1,['note_on']
349,[68],[64],360,[0],1,['note_on']
350,[68],[64],360,[0],1,['note_on']
351,[68],[64],360,[0],1,['note_on']
352,[68],[64],360,[0],1,['note_on']
353,[68],[64],360,[0],1,['note_on']
354,[68],[64],360,[0],1,['note_on']
355,[68],[64],360,[0],1,['note_on']
356,[68],[64],360,[0],1,['note_on']
357,[68],[64],360,[0],1,['note_on']
358,[68],[64],360,[0],1,['note_on']
359,[68],[64],360,[0],1,['note_on']
360,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
361,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
362,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
363,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
364,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
365,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
366,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
367,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
368,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
369,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
370,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
371,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
372,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
373,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
374,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
375,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
376,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
377,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
378,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
379,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
380,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
381,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
382,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
383,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
384,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
385,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
386,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
387,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
388,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
389,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
390,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
391,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
392,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
393,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
394,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
395,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
396,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
397,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
398,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
399,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
400,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
401,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
402,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
403,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
404,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
405,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
406,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
407,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
408,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
409,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
410,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
411,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
412,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
413,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
414,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
415,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
416,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
417,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
418,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
419,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
420,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
421,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
422,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
423,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
424,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
425,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
426,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
427,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
428,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
429,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
430,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
431,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
432,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
433,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
434,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
435,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
436,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
437,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
438,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
439,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
440,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
441,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
442,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
443,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
444,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
445,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
446,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
447,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
448,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
449,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
450,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
451,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
452,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
453,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
454,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
455,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
456,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
457,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
458,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
