,sec,msg_type,channel,note,velocity,new_octave,dynamic,accent,count,main_vol,depth,pedal,pan
924,92.4,"['note_on', 'note_on']","[0, 0]","[59, 59]","[42, 42]","[2, 3]",pp,0,2,0,0,0,0
925,92.5,[],[],[],[],"[2, 3]",,0,0,0,0,0,0
926,92.6,[],[],[],[],"[2, 3]",,0,0,0,0,0,0
927,92.7,"['note_on', 'note_on', 'note_off', 'note_off', 'note_off', 'note_off']","[0, 0, 0, 0, 0, 0]","[65, 65, 55, 55, 59, 59]","[55, 55, 0, 0, 0, 0]","[2, 3, 4]",ppp,0,6,0,0,0,0
928,92.8,[],[],[],[],"[2, 3, 4]",,0,0,0,0,0,0
929,92.9,"['note_on', 'note_on']","[0, 0]","[55, 55]","[42, 42]","[2, 3, 4]",pp,0,2,0,0,0,0
930,93.0,"['note_off', 'note_off']","[0, 0]","[65, 65]","[0, 0]","[2, 3]",ppp,0,2,0,0,0,0
931,93.1,"['note_on', 'note_on']","[0, 0]","[59, 59]","[40, 40]","[2, 3]",pp,0,2,0,0,0,0
932,93.2,"['note_off', 'note_off', 'note_off', 'note_off']","[0, 0, 0, 0]","[50, 50, 43, 43]","[0, 0, 0, 0]",[3],ppp,0,4,0,0,0,0
933,93.3,"['note_on', 'note_on']","[0, 0]","[65, 65]","[44, 44]","[3, 4]",pp,0,2,0,0,0,0
934,93.4,"['note_off', 'note_off']","[0, 0]","[59, 59]","[0, 0]","[3, 4]",ppp,0,2,0,0,0,0
935,93.5,"['note_off', 'note_off']","[0, 0]","[55, 55]","[0, 0]",[4],ppp,0,2,0,0,0,0
936,93.6,"['note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0]","[65, 65, 43, 43]","[0, 0, 40, 40]",[2],ppp,0,4,0,0,0,0
937,93.7,[],[],[],[],[2],,0,0,0,0,0,0
938,93.8,"['note_on', 'note_on']","[0, 0]","[51, 51]","[44, 44]","[2, 3]",pp,0,2,0,0,0,0
939,93.9,[],[],[],[],"[2, 3]",,0,0,0,0,0,0
940,94.0,"['note_on', 'note_on']","[0, 0]","[57, 57]","[44, 44]","[2, 3]",pp,0,2,0,0,0,0
941,94.1,[],[],[],[],"[2, 3]",,0,0,0,0,0,0
942,94.2,"['note_on', 'note_on']","[0, 0]","[60, 60]","[46, 46]","[2, 3, 4]",pp,0,2,0,0,0,0
943,94.3,[],[],[],[],"[2, 3, 4]",,0,0,0,0,0,0
944,94.4,"['note_on', 'note_on']","[0, 0]","[66, 66]","[60, 60]","[2, 3, 4]",p,0,2,0,0,0,0
945,94.5,"['note_off', 'note_off', 'note_off', 'note_off']","[0, 0, 0, 0]","[60, 60, 57, 57]","[0, 0, 0, 0]","[2, 3, 4]",ppp,0,4,0,0,0,0
946,94.6,"['note_on', 'note_on']","[0, 0]","[57, 57]","[51, 51]","[2, 3, 4]",p,0,2,0,0,0,0
947,94.7,[],[],[],[],"[2, 3, 4]",,0,0,0,0,0,0
948,94.8,"['note_off', 'note_off']","[0, 0]","[66, 66]","[0, 0]","[2, 3]",ppp,0,2,0,0,0,0
949,94.9,"['note_on', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0]","[60, 60, 57, 57]","[46, 46, 0, 0]","[2, 3, 4]",ppp,0,4,0,0,0,0
950,95.0,"['note_off', 'note_off']","[0, 0]","[43, 43]","[0, 0]","[3, 4]",ppp,0,2,0,0,0,0
951,95.1,"['note_off', 'note_off', 'note_on', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0, 0, 0]","[51, 51, 66, 66, 60, 60]","[0, 0, 53, 53, 0, 0]",[4],ppp,0,6,0,0,0,0
952,95.2,[],[],[],[],[4],,0,0,0,0,0,0
953,95.3,"['note_on', 'note_on']","[0, 0]","[43, 43]","[51, 51]","[2, 4]",p,0,2,0,0,0,0
954,95.4,"['note_off', 'note_off']","[0, 0]","[66, 66]","[0, 0]",[2],ppp,0,2,0,0,0,0
955,95.5,[],[],[],[],[2],,0,0,0,0,0,0
956,95.6,"['note_on', 'note_on']","[0, 0]","[51, 51]","[42, 42]","[2, 3]",pp,0,2,0,0,0,0
957,95.7,[],[],[],[],"[2, 3]",,0,0,0,0,0,0
958,95.8,"['note_on', 'note_on']","[0, 0]","[57, 57]","[42, 42]","[2, 3]",pp,0,2,0,0,0,0
959,95.9,[],[],[],[],"[2, 3]",,0,0,0,0,0,0
960,96.0,"['note_on', 'note_on']","[0, 0]","[60, 60]","[42, 42]","[2, 3, 4]",pp,0,2,0,0,0,0
961,96.1,"['note_off', 'note_off']","[0, 0]","[57, 57]","[0, 0]","[2, 3, 4]",ppp,0,2,0,0,0,0
962,96.2,"['note_on', 'note_on']","[0, 0]","[66, 66]","[53, 53]","[2, 3, 4]",p,0,2,0,0,0,0
963,96.3,"['note_off', 'note_off']","[0, 0]","[60, 60]","[0, 0]","[2, 3, 4]",ppp,0,2,0,0,0,0
964,96.4,"['note_on', 'note_on']","[0, 0]","[57, 57]","[46, 46]","[2, 3, 4]",pp,0,2,0,0,0,0
965,96.5,"['note_off', 'note_off']","[0, 0]","[66, 66]","[0, 0]","[2, 3]",ppp,0,2,0,0,0,0
966,96.6,[],[],[],[],"[2, 3]",,0,0,0,0,0,0
967,96.7,"['note_on', 'note_on', 'note_off', 'note_off', 'note_off', 'note_off']","[0, 0, 0, 0, 0, 0]","[60, 60, 57, 57, 51, 51]","[38, 38, 0, 0, 0, 0]","[2, 4]",ppp,0,6,0,0,0,0
968,96.8,"['note_off', 'note_off']","[0, 0]","[43, 43]","[0, 0]",[4],ppp,0,2,0,0,0,0
969,96.9,"['note_on', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0]","[66, 66, 60, 60]","[60, 60, 0, 0]",[4],ppp,0,4,0,0,0,0
970,97.0,[],[],[],[],[4],,0,0,0,0,0,0
971,97.1,[],[],[],[],[4],,0,0,0,0,0,0
972,97.2,"['note_on', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0]","[43, 43, 66, 66]","[53, 53, 0, 0]",[2],ppp,0,4,0,0,0,0
973,97.3,[],[],[],[],[2],,0,0,0,0,0,0
974,97.4,"['note_on', 'note_on']","[0, 0]","[52, 52]","[46, 46]","[2, 3]",pp,0,2,0,0,0,0
975,97.5,[],[],[],[],"[2, 3]",,0,0,0,0,0,0
976,97.6,"['note_on', 'note_on']","[0, 0]","[55, 55]","[53, 53]","[2, 3]",p,0,2,0,0,0,0
977,97.7,[],[],[],[],"[2, 3]",,0,0,0,0,0,0
978,97.8,"['note_on', 'note_on']","[0, 0]","[60, 60]","[51, 51]","[2, 3, 4]",p,0,2,0,0,0,0
979,97.9,[],[],[],[],"[2, 3, 4]",,0,0,0,0,0,0
980,98.0,[],[],[],[],"[2, 3, 4]",,0,0,0,0,0,0
981,98.1,"['note_on', 'note_on', 'note_off', 'note_off', 'note_off', 'note_off']","[0, 0, 0, 0, 0, 0]","[67, 67, 55, 55, 60, 60]","[66, 66, 0, 0, 0, 0]","[2, 3, 4]",ppp,0,6,0,0,0,0
982,98.2,[],[],[],[],"[2, 3, 4]",,0,0,0,0,0,0
983,98.3,"['note_on', 'note_on']","[0, 0]","[55, 55]","[40, 40]","[2, 3, 4]",pp,0,2,0,0,0,0
984,98.4,"['note_off', 'note_off']","[0, 0]","[67, 67]","[0, 0]","[2, 3]",ppp,0,2,0,0,0,0
985,98.5,"['note_on', 'note_on']","[0, 0]","[60, 60]","[40, 40]","[2, 3, 4]",pp,0,2,0,0,0,0
986,98.6,[],[],[],[],"[2, 3, 4]",,0,0,0,0,0,0
987,98.7,"['note_off', 'note_off', 'note_off', 'note_off', 'note_on', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0, 0, 0, 0, 0]","[43, 43, 52, 52, 67, 67, 60, 60]","[0, 0, 0, 0, 64, 64, 0, 0]","[3, 4]",ppp,0,8,0,0,0,0
988,98.8,[],[],[],[],"[3, 4]",,0,0,0,0,0,0
989,98.9,[],[],[],[],"[3, 4]",,0,0,0,0,0,0
990,99.0,"['note_on', 'note_on', 'note_off', 'note_off', 'note_off', 'note_off']","[0, 0, 0, 0, 0, 0]","[43, 43, 67, 67, 55, 55]","[57, 57, 0, 0, 0, 0]",[2],ppp,0,6,0,0,0,0
991,99.1,[],[],[],[],[2],,0,0,0,0,0,0
992,99.2,"['note_on', 'note_on']","[0, 0]","[52, 52]","[35, 35]","[2, 3]",ppp,0,2,0,0,0,0
993,99.3,[],[],[],[],"[2, 3]",,0,0,0,0,0,0
994,99.4,"['note_on', 'note_on']","[0, 0]","[55, 55]","[46, 46]","[2, 3]",pp,0,2,0,0,0,0
995,99.5,[],[],[],[],"[2, 3]",,0,0,0,0,0,0
996,99.6,"['note_on', 'note_on']","[0, 0]","[60, 60]","[35, 35]","[2, 3, 4]",ppp,0,2,0,0,0,0
997,99.7,[],[],[],[],"[2, 3, 4]",,0,0,0,0,0,0
998,99.8,"['note_on', 'note_on']","[0, 0]","[67, 67]","[68, 68]","[2, 3, 4]",mp,0,2,0,0,0,0
999,99.9,"['note_off', 'note_off', 'note_off', 'note_off']","[0, 0, 0, 0]","[60, 60, 55, 55]","[0, 0, 0, 0]","[2, 3, 4]",ppp,0,4,0,0,0,0
1000,100.0,[],[],[],[],"[2, 3, 4]",,0,0,0,0,0,0
1001,100.1,"['note_on', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0]","[55, 55, 67, 67]","[36, 36, 0, 0]","[2, 3]",ppp,0,4,0,0,0,0
1002,100.2,[],[],[],[],"[2, 3]",,0,0,0,0,0,0
1003,100.3,"['note_on', 'note_on']","[0, 0]","[60, 60]","[40, 40]","[2, 3, 4]",pp,0,2,0,0,0,0
1004,100.4,"['note_off', 'note_off']","[0, 0]","[43, 43]","[0, 0]","[3, 4]",ppp,0,2,0,0,0,0
1005,100.5,"['note_off', 'note_off', 'note_on', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0, 0, 0]","[52, 52, 67, 67, 60, 60]","[0, 0, 59, 59, 0, 0]","[3, 4]",ppp,0,6,0,0,0,0
1006,100.6,[],[],[],[],"[3, 4]",,0,0,0,0,0,0
1007,100.7,"['note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0]","[67, 67, 43, 43]","[0, 0, 55, 55]","[2, 3]",ppp,0,4,0,0,0,0
