Sec,Ticks,msg_type,Channel,Notes,Velocities,Tempo,mean_velocity,diff_velocity
26.053560572916577,0,"['note_off', 'note_off', 'note_off']",1,"[40, 81, 95]","[0, 0, 0]",175.00007291669704,-80.0,0.0
26.05713199999991,0,"['note_on', 'note_on', 'note_on', 'note_on']",1,"[41, 64, 96, 35]","[96, 32, 64, 127]",175.00007291669704,79.75,79.75
26.139274822916576,0.08214282291666666,['note_off'],2,[41],[0],175.00007291669704,-79.75,0.0
26.224989072916575,0,"['note_off', 'note_off']",1,"[64, 35]","[0, 0]",175.00007291669704,0.0,0.0
26.228560499999908,0,"['note_on', 'note_on']",1,"[41, 60]","[96, 32]",175.00007291669704,64.0,64.0
26.310703322916574,0.08214282291666666,['note_off'],2,[41],[0],175.00007291669704,-64.0,0.0
26.396417572916572,0.08571424999999999,['note_off'],1,[60],[0],175.00007291669704,0.0,0.0
26.399988999999906,0,"['note_on', 'note_on', 'note_on', 'note_on']",1,"[41, 76, 72, 38]","[96, 32, 32, 127]",175.00007291669704,71.75,71.75
26.48213182291657,0.08214282291666666,['note_off'],6,[41],[0],175.00007291669704,-71.75,0.0
26.56784607291657,0,"['note_off', 'note_off', 'note_off']",0,"[76, 72, 38]","[0, 0, 0]",175.00007291669704,0.0,0.0
26.571417499999903,0,"['note_on', 'note_on', 'note_on']",1,"[79, 41, 35]","[127, 96, 127]",175.00007291669704,116.66666666666667,116.66666666666667
26.65356032291657,0.08214282291666666,['note_off'],0,[41],[0],175.00007291669704,-116.66666666666667,0.0
26.739274572916568,0,"['note_off', 'note_off']",0,"[79, 35]","[0, 0]",175.00007291669704,0.0,0.0
26.7428459999999,0,"['note_on', 'note_on']",1,"[88, 41]","[127, 96]",175.00007291669704,111.5,111.5
26.824988822916566,0.08214282291666666,['note_off'],0,[41],[0],175.00007291669704,-111.5,0.0
26.910703072916565,0.08571424999999999,['note_off'],0,[88],[0],175.00007291669704,0.0,0.0
26.914274499999898,0,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']",1,"[86, 41, 76, 72, 35]","[127, 96, 32, 32, 127]",175.00007291669704,82.8,82.8
26.996417322916564,0.08214282291666666,['note_off'],9,[41],[0],175.00007291669704,-82.8,0.0
27.082131572916563,0.08571424999999999,['note_off'],1,[35],[0],175.00007291669704,0.0,0.0
27.085702999999896,0,"['note_on', 'note_on', 'note_on']",1,"[41, 64, 38]","[96, 32, 127]",175.00007291669704,85.0,85.0
27.16784582291656,0.08214282291666666,['note_off'],0,[41],[0],175.00007291669704,-85.0,0.0
27.25356007291656,0,"['note_off', 'note_off', 'note_off', 'note_off', 'note_off']",0,"[86, 64, 76, 72, 38]","[0, 0, 0, 0, 0]",175.00007291669704,0.0,0.0
27.257131499999893,0,"['note_on', 'note_on', 'note_on']",1,"[84, 41, 60]","[127, 96, 32]",175.00007291669704,85.0,85.0
27.33927432291656,0.08214282291666666,['note_off'],0,[41],[0],175.00007291669704,-85.0,0.0
27.424988572916558,0,"['note_off', 'note_off']",0,"[84, 60]","[0, 0]",175.00007291669704,0.0,0.0
27.42855999999989,0,"['note_on', 'note_on', 'note_on', 'note_on']",1,"[83, 40, 62, 35]","[127, 96, 32, 127]",175.00007291669704,95.5,95.5
27.510702822916556,0.08214282291666666,['note_off'],2,[40],[0],175.00007291669704,-95.5,0.0
27.596417072916555,0,"['note_off', 'note_off']",1,"[62, 35]","[0, 0]",175.00007291669704,0.0,0.0
27.59998849999989,0,"['note_on', 'note_on']",1,"[40, 59]","[96, 32]",175.00007291669704,64.0,64.0
27.682131322916554,0.08214282291666666,['note_off'],0,[40],[0],175.00007291669704,-64.0,0.0
27.767845572916553,0,"['note_off', 'note_off', 'note_off']",0,"[83, 59, 96]","[0, 0, 0]",175.00007291669704,0.0,0.0
27.771416999999886,0,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on', 'note_on']",1,"[84, 40, 95, 74, 71, 38]","[127, 96, 64, 32, 32, 127]",175.00007291669704,79.66666666666667,79.66666666666667
27.85355982291655,0.08214282291666666,['note_off'],0,[40],[0],175.00007291669704,-79.66666666666667,0.0
