sec,tick,bpm,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan,tempo
0.178,171,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.179,172,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.18,173,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.181,174,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.182,175,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.183,176,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.184,177,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.185,178,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.186,179,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.187,180,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.188,181,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.189,182,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.19,183,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.191,184,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.192,185,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.193,186,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.194,187,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.195,188,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.196,189,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.197,190,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.198,191,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.2,192,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.201,193,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.202,194,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.203,195,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.204,196,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.205,197,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.206,198,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.207,199,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.208,200,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.209,201,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.21,202,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.211,203,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.212,204,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.213,205,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.214,206,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.215,207,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.216,208,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.217,209,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.218,210,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.219,211,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.22,212,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.221,213,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.222,214,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.223,215,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.225,216,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.226,217,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.227,218,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.228,219,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
